platform,type,timestamp,ticker,isin,total_amount,quantity,price_per_share,currency,instrument_currency,fx_rate
Trading 212_ISA,BUY,13/06/2025,HSBA.L,GB0005405286,3.78,0.4352728,864.1,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,HLN.L,GB00BMX86B70,1.26,0.3145336,398.6,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,GSK.L,GB00BN7SWP63,3.78,0.24336421,1545.5,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,EXPN.L,GB00B19NLV48,1.26,0.03393479,3713,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,DGE.L,GB0002374006,3.78,0.19248689,1954,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,CRDA.L,GB00BJFFLV09,1.26,0.04091811,3064,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,BP.L,GB0007980591,5.05,1.2934041,388.5,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,BNZL.L,GB00B0744B38,1.26,0.054605,2296,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,BMY.L,GB0033147751,76.13,15,505,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,BATS.L,GB0002875804,2.52,0.07073235,3545,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,BARC.L,GB0031348658,5.05,1.580895,317.85,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,BA.L,GB0002634946,5.05,0.26028878,1930.5,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,AZN.L,GB0009895292,5.05,0.04592281,10942,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,AV.L,GB00BPQY8M80,2.52,0.4179103,600,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,IMB.L,GB0004544929,3.78,0.12960692,2902,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,ISF.L,IE0005042456,6.31,0.7332092,860.6,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,IGG.L,GB00B06QFB75,1.26,0.11695251,1072,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,LLOY.L,GB0008706128,2.52,3.299292,76,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,UU.L,GB00B39J2M42,2.52,0.21504819,1166,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,ULVR.L,GB00B10RZP78,8.84,0.18952852,4641,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,UKW.L,GB00B8SC6K54,1.26,1.0580008,118.5,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,TSCO.L,GB00BLGZ9862,2.52,0.6396586,392,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,TATE.L,GB00BP92CJ43,1.26,0.2323875,539.5,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,IUSA.L,IE0031442068,13.89,0.31714136,4379.75,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,SHEL.L,GB00BP6MXD84,6.31,0.23648233,2655,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,SGE.L,GB00B8C3BL03,1.26,0.0986413,1271,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,SSE.L,GB0007908733,2.52,0.1376214,1822,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,RIO.L,GB0007188757,1.26,0.02940959,4263,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,REL.L,GB00B2B0DG97,1.26,0.03224616,3888,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,PSN.L,GB0006825383,1.26,0.09042416,1386.5,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,NG.L,GB00BDR05C01,5.05,0.47494092,1058,GBP,GBX,100
Trading 212_ISA,BUY,13/06/2025,LSEG.L,GB00B0SWJX34,1.26,0.0114183,10980,GBP,GBX,100
